Commune	Canton	District	Population
Ban-Saint-Martin Metz Metz 0
Longeville-Les-Metz Metz Metz 0
Lessy Metz Metz 0
Scy-Chazelles Metz Metz 0
Châtel-Saint-Germain Metz Metz 0
Jussy Metz Metz 0
Vaux Metz Metz 0
Rozerieulles Metz Metz 0
Sainte-Ruffine Metz Metz 0
Moulins-Lès-Metz Metz Metz 0
Vantoux Metz Metz 0
Mey Metz Metz 0
Nouilly Metz Metz 0
Noisseville Metz Metz 0
Servigny-Lès-Sainte-Barbe Metz Metz 0
Failly Metz Metz 0
Vany Metz Metz 0
Chieulles Metz Metz 0
Malroy Metz Metz 0
Charly-Ouradour Metz Metz 0
Sanry-Lès-Vigy Metz Metz 0
Vry Metz Metz 0
Vigy Metz Metz 0
Antilly Metz Metz 0
Argancy Metz Metz 0
Lorry-Lès-Metz Metz Metz 0
Saulny  Metz Metz 0
Plesnois Metz Metz 0
Norroy-Le-Veneur Metz Metz 0
La Maxe Metz Metz 0
Fèves Metz Metz 0
Semecourt Metz Metz 0
Plappeville Metz Metz 0
Ars-Laquenexy Metz Metz 0
Laquenexy Metz Metz 0
Pange Metz Metz 0
Ogy / Montoy-Flanville Metz Metz 0
Coincy Metz Metz 0
Colligny Metz Metz 0
Maizery Metz Metz 0
Silly-Sur-Nied Metz Metz 0
Marsilly Metz Metz 0
Courcelles-Chaussy Metz Metz 0
Servigny-Lès-Ravilles Metz Metz 0
Les Étangs Metz Metz 0
Glatiny Metz Metz 0
Retonfey Metz Metz 0
Peltre Metz Metz 0
Jury Metz Metz 0
Mécleuves Metz Metz 0
Cherisey Metz Metz 0
Goin Metz Metz 0
Chesny Metz Metz 0
Orny Metz Metz 0
Pontoy Metz Metz 0
Liéhon Metz Metz 0
Silly-En-Saulnois Metz Metz 0
Pagny-Lès-Goins Metz Metz 0
Vigny Metz Metz 0
Buchy Metz Metz 0
Solgne Metz Metz 0
Luppy Metz Metz 0
Béchy Metz Metz 0
Aube Metz Metz 0
Rémilly Metz Metz 0
Ancerville Metz Metz 0
Lemud Metz Metz 0
Bazoncourt Metz Metz 0
Sanry-Sur-Nied Metz Metz 0
Courcelles-Sur-Nied Metz Metz 0
Augny Metz Metz 0
Pouilly Metz Metz 0
Fleury Metz Metz 0
Cuvry Metz Metz 0
Coin-Lès-Cuvry Metz Metz 0
Pournoy-La-Chétive Metz Metz 0
Coin-Sur-Seille Metz Metz 0
Pournoy-La-Grasse Metz Metz 0
Verny Metz Metz 0
Pommerieux Metz Metz 0
Sillegny Metz Metz 0
Louvigny Metz Metz 0
Cheminot Metz Metz 0
Jouy-Aux-Arches  Metz Metz 0
Gorze Metz Metz 0
Ancy-Sur-Moselle Metz Metz 0
Dornot Metz Metz 0
Corny-Sur-Moselle Metz Metz 0
Fey Metz Metz 0
Marieulles Metz Metz 0
Novéant-Sur-Moselle Metz Metz 0
Arry Metz Metz 0
Pagny-Sur-Moselle Metz Metz 0
Prény Metz Metz 0
Vittonville Metz Metz 0
