sVille,region,brut,net,,
beggen,Centre / zentrum,1340,630,,
belair,Centre / zentrum,4820,740,,
bereldange,Centre / zentrum,1845,720,,

Ban-Saint-Martin,ouest, 1352, 1352,,
Longeville-Les-Metz,ouest, 1365, 1365,,
Lessy,ouest, 188, 188,,
Scy-Chazelles,ouest, 875, 875,,
Châtel-Saint-Germain,ouest, 594, 594,,
Jussy,ouest, 166, 166,,
Vaux,ouest, 221, 221,,
Rozerieulles,ouest, 422, 422,,
Sainte-Ruffine,ouest, 109, 109,,
Moulins-Lès-Metz,ouest, 1776, 1776,,

SECTEUR METZ NORD EST
NOMBRES DE BOITES AUX LETTRES ESTIMÉS
Vantoux, 254
Mey, 98
Nouilly, 206
Noisseville, 322
Servigny-Lès-Sainte-Barbe, 182
Failly, 194
Vany, 120
Chieulles, 135
Malroy, 129
Charly-Ouradour, 228
Sanry-Lès-Vigy, 193
Vry, 204
Vigy, 645
Antilly, 67
Argancy, 482

SECTEUR METZ NORD
NOMBRES DE BOITES AUX LETTRES ESTIMÉS
Lorry-Lès-Metz, 445
Saulny , 493
Plesnois, 281
Norroy-Le-Veneur, 380
La Maxe, 352
Fèves, 365
Semecourt, 339
Plappeville, 704

SECTEUR METZ EST
NOMBRES DE BOITES AUX LETTRES ESTIMÉS
Ars-Laquenexy, 259
Laquenexy, 461
Pange, 471
Ogy / Montoy-Flanville, 574
Coincy, 92
Colligny, 116
Maizery, 64
Silly-Sur-Nied, 429
Marsilly, 203
Courcelles-Chaussy, 988
Servigny-Lès-Ravilles, 161
Les Étangs, 206
Glatiny, 79
Retonfey, 475

SECTEUR METZ SUD-EST
NOMBRES DE BOITES AUX LETTRES ESTIMÉS
Peltre, 557
Jury, 357
Mécleuves, 403
Cherisey, 91
Goin, 109
Chesny, 208
Orny, 122
Pontoy, 144
Liéhon, 43
Silly-En-Saulnois, 12
Pagny-Lès-Goins, 98
Vigny, 124
Buchy, 55
Solgne, 412
Luppy, 218
Béchy, 262
Aube, 94
Rémilly, 768
Ancerville, 79
Lemud, 116
Bazoncourt, 204
Sanry-Sur-Nied, 97
Courcelles-Sur-Nied, 463

SECTEUR METZ-SUD
NOMBRES DE BOITES AUX LETTRES ESTIMÉS
Augny, 762
Pouilly, 217
Fleury, 366
Cuvry, 272
Coin-Lès-Cuvry, 289
Pournoy-La-Chétive, 267
Coin-Sur-Seille, 116
Pournoy-La-Grasse, 213
Verny, 692
Pommerieux, 298
Sillegny, 164
Louvigny, 296
Cheminot, 266

SECTEUR METZ SUD-OUEST
NOMBRES DE BOITES AUX LETTRES ESTIMÉS
Jouy-Aux-Arches , 525
Gorze, 402
Ancy-Sur-Moselle, 484
Dornot, 65
Corny-Sur-Moselle, 755
Fey, 236
Marieulles, 231
Novéant-Sur-Moselle, 614
Arry, 178
Pagny-Sur-Moselle, 1389
Prény, 124
Vittonville, 43
