Ville,region,brut,net,,
ban-saint-martin,ouest,1352,1352,,
longeville-les-metz,ouest,1365,1365,,
lessy,ouest,188,188,,
scy-chazelles,ouest,875,875,,
châtel-saint-germain,ouest,594,594,,
jussy,ouest,166,166,,
vaux,ouest,221,221,,
rozerieulles,ouest,422,422,,
sainte-ruffine,ouest,109,109,,
moulins-lès-metz,ouest,1776,1776,,
vantoux,nordEst,254,254,,
mey,nordEst,98,98,,
nouilly,nordEst,206,206,,
noisseville,nordEst,322,322,,
servigny-lès-sainte-barbe,nordEst,182,182,,
failly,nordEst,194,194,,
vany,nordEst,120,120,,
chieulles,nordEst,135,135,,
malroy,nordEst,129,129,,
charly-ouradour,nordEst,228,228,,
sanry-lès-vigy,nordEst,193,193,,
vry,nordEst,204,204,,
vigy,nordEst,645,645,,
antilly,nordEst,67,67,,
argancy,nordEst,482,482,,
lorry-lès-metz,nord,445,445,,
saulny,nord,493,493,,
plesnois,nord,281,281,,
norroy-le-veneur,nord,380,380,,
la_maxe,nord,352,352,,
fèves,nord,365,365,,
semecourt,nord,339,339,,
plappeville,nord,704,704,,
ars-laquenexy,est,259,259,,
laquenexy,est,461,461,,
pange,est,471,471,,
ogy_et_montoy-flanville,est,574,574,,
coincy,est,92,92,,
colligny,est,116,116,,
maizery,est,64,64,,
silly-sur-nied,est,429,429,,
marsilly,est,203,203,,
courcelles-chaussy,est,988,988,,
servigny-lès-ravilles,est,161,161,,
les_étangs,est,206,206,,
glatiny,est,79,79,,
retonfey,est,475,475,,
peltre,sudEst,557,557,,
jury,sudEst,357,357,,
mécleuves,sudEst,403,403,,
cherisey,sudEst,91,91,,
goin,sudEst,109,109,,
chesny,sudEst,208,208,,
orny,sudEst,122,122,,
pontoy,sudEst,144,144,,
liéhon,sudEst,43,43,,
silly-en-saulnois,sudEst,12,12,,
pagny-lès-goins,sudEst,98,98,,
vigny,sudEst,124,124,,
buchy,sudEst,55,55,,
solgne,sudEst,412,412,,
luppy,sudEst,218,218,,
béchy,sudEst,262,262,,
aube,sudEst,94,94,,
rémilly,sudEst,768,768,,
ancerville,sudEst,79,79,,
lemud,sudEst,116,116,,
bazoncourt,sudEst,204,204,,
sanry-sur-nied,sudEst,97,97,,
courcelles-sur-nied,sudEst,463,463,,
augny,sud,762,762,,
pouilly,sud,217,217,,
fleury,sud,366,366,,
cuvry,sud,272,272,,
coin-lès-cuvry,sud,289,289,,
pournoy-la-chétive,sud,267,267,,
coin-sur-seille,sud,116,116,,
pournoy-la-grasse,sud,213,213,,
verny,sud,692,692,,
pommerieux,sud,298,298,,
sillegny,sud,164,164,,
louvigny,sud,296,296,,
cheminot,sud,266,266,,
jouy-aux-arches,sudOuest,525,525,,
gorze,sudOuest,402,402,,
ancy-sur-moselle,sudOuest,484,484,,
dornot,sudOuest,65,65,,
corny-sur-moselle,sudOuest,755,755,,
fey,sudOuest,236,236,,
marieulles,sudOuest,231,231,,
novéant-sur-moselle,sudOuest,614,614,,
arry,sudOuest,178,178,,
pagny-sur-moselle,sudOuest,1389,1389,,
prény,sudOuest,124,124,,
vittonville,sudOuest,43,43,,
